Award,Sponsor,Year,Description
Young Researcher,Heidelberg Laureate Forum,2025,
CHI 2025 Best Paper Award,CHI Conference on Human Factors,2025,
Travel Grant to UbiComp/ISWC 2024,UbiComp/ISWC,2024,
I-Corps Participant,UW NSF Innovation Corps Site,2024,
Innovation Gap Fund (~$10k),UW CoMotion Labs,2024,
Inventor of the Year Finalist,UW School of Medicine,2023,
Husky 100,University of Washington,2023,
Population Health Pilot Grant (~$100k),UW Population Health Initative,2023,
Futuremaker Fellowship (~$50k),Siemens,2019,
Runner-Up Master's Thesis,GT Three Minute Thesis Competition,2017,
Outstanding Master's Thesis,GT College of Computing,2017,
Best Computing Poster Award,"GT Career, Research, and Innovation Development Conference",2017,
Travel Grant to CSCW 2015,GT GVU Center,2015,
President's Undergraduate Research Award,GT Undergraduate Research Opportunities Program,2015,
HOPE Scholarship,GT Office of Scholarships and Financial Aid,2014 - 2016,
