Title,Institution,Dates,Description
Postdoctoral Fellow,University of Washington,2025 - Present,"Mentors: James Fogarty (DUB Group), Shwetak Patel (UbiComp Lab), and Cindy Lin (School of Medicine)"
Graduate Research Assistant,University of Washington,2019 - 2025,Mentors: James Fogarty (DUB Group) and Shwetak Patel (UbiComp Lab)
Research Intern,Microsoft Research,2022,"Mentors: Teddy Seyed, Nicolai Marquardt, Nathalie Riche, and Ken Hinckley (EPIC Team)"
Research Intern,Microsoft Research,2021,"Mentors: Eyal Ofek, Nicolai Marquardt, and Ken Hinckley (EPIC Team)"
Research Intern,Microsoft Research,2020,Mentors: Alex Fiannaca and Ed Cutrell (Ability Team)
Research Scholar,"X, the Moonshot Factory (Google [x])",2019 - 2020,Mentors: JB Berent and Yash Ahluwalia
Research Scholar,Google Research,2018 - 2019,"Mentors: Dimitri Kanvesky, Thad Starner, Dick Lyon"
Graduate Research Assistant,Georgia Institute of Technology,2017 - 2019,Mentors: Thad Starner and Gregory Abowd
Research Intern,Nvidia Research,2017,Mentor: Kaan Akşit
Software Engineering Intern,Amazon.com,2015,
Research and Development Intern,Intel,2014,
Software Configuration Management Intern,Broadcom,2013,
