Type,Venue,Years
Program Committee,ACM CHI,2026
Paper Reviewing,ACM CHI,"2019, 2020, 2021, 2022, 2023, 2024*, 2025, 2026"
Paper Reviewing,ACM IMWUT,"2019, 2021*, 2022*, 2023, 2024"
Paper Reviewing,ACM ISWC,"2017, 2018, 2020"
Paper Reviewing,ACM UIST,"2021, 2022, 2025"
Paper Reviewing,ACM Health,2025
Paper Reviewing,NeurIPS TS4H,2025
Paper Reviewing,IEEE TVCG,2024
Paper Reviewing,ACM TEI,2023
Paper Reviewing,IEEE VR,2022
Paper Reviewing,ACM MobileHCI,2022
Paper Reviewing,IEEE ISMAR,2020*
Student Volunteering,UbiComp ,2019
Student Volunteering,UIST ,2022
Institution Volunteering,UW Faculty Recruiting Host (HCI),2024
Institution Volunteering,UW CSE Visit Days Area Oraganizer (Ubicomp),2022 - 2024
Institution Volunteering,UW CSE PhD Admissions Area Chair (HCI and Ubicomp),2023
Institution Volunteering,UW CSE PhD Admissions Reviewer,2022 - 2024
Institution Volunteering,UW CSE PhD Pre-Application Mentorship Service (PAMS) Mentor,2021 - 2024
